0,breastfeeding_0,breastfeeding_1
,breastfeeding,"Alernex 30mg Tablet DT is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Because of low milk levels and lack of sleepiness, use of Alernex 30mg Tablet DT would not be expected to cause any adverse effects in breastfed babies."
,breastfeeding,Information regarding the use of Ambigesic MR Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Albetop-Plus Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Alvoflam-P Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Axikool O Suspension during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Afymox Clav Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Acort 10mg Injection is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Ac2 100mg/500mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Arpidon 15mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Azovis 250 Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Amipic 250mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Acefe-P Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Avinor TZ 400mg/600mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Allery-A Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or more prolonged use of Allery-A Tablet may cause drowsiness and other effects in the baby or decrease the milk supply
,breastfeeding,Apz 0.5mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Avespas Injection during breastfeeding is not available. Please consult your doctor.
,,
,breastfeeding,Information regarding the use of Acupressin 1mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Axipan DM 10mg/40mg Tablet should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Aronate 60mg Injection is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Arcmont LC 5mg/10mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Afcort 6mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Azystate 250mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,"Alefex 120mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Because of low milk levels and lack of sleepiness, use of Alefex 120mg Tablet would not be expected to cause any adverse effects in breastfed babies."
,breastfeeding,Azegud 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Atsan 20mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Aarcid Syrup is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Axopan D 10mg/40mg Tablet should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Ameek 500mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Acelab-TH Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Acnisil 20mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Arzepam 2mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Axitrix 250mg Injection should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Alpraday 0.25mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Amfenac 200mg Tablet SR during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Afcid Oral Suspension Strawberry is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Andoset-MD Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Abrizol L 75mg/20mg Capsule during breastfeeding is not available. Please consult your doctor.
,breastfeeding,"Arolexim 500mg Capsule is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Avoid prolonged use of Arolexim 500mg Capsule, since it may have possible effects such as rash and diarrhea."
,breastfeeding,Acquire 250mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Azitime 500 Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Abixim-AZ Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,,
,breastfeeding,Information regarding the use of Anlof TC 100mg/325mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Aridac 25mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,"Axiom OR 15mg Dry Syrup is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Avoid prolonged use of Axiom OR 15mg Dry Syrup, since it may have possible effects such as rash and diarrhea."
,breastfeeding,Avizone S 1000mg/500mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Atpure SA 2.5mg/25mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,,
,breastfeeding,Abijem 20mg Injection is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Azinip 250mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Information regarding the use of Acenez 150mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Anglonor TZ 400 mg/600 mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Arthobit 60mg Injection is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,,
,breastfeeding,Acef LB 100mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Altomail 75mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Audon 2mg Oral Solution is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Aceleaf TH 100mg/4mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Azux 500mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,,
,breastfeeding,Information regarding the use of Ara TH 100mg/4mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Anikuf AX Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Brilinta 60mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Bzon Forte 1mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Betawin Forte 0.5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Bromex Kid Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Buprigesic 0.3mg Injection is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Buprocare 0.2mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Bivamax 250mg Injection is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Biodebol 50mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Daophage GP2 Tablet ER is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Monitor the breastfed baby’s blood sugar during treatment with Daophage GP2 Tablet ER
,breastfeeding,Dukinase 50000IU Injection is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Duomox 500 mg/125 mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Dbgron 75 Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Dicamol Plus Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Defset 6mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Donep Syrup is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Dospin 150 mg/75 mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Desonex M 5mg/10mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Daventyl-Plus 100 Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Diocerin gm Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Dupent-DSR Capsule should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Information regarding the use of Dolozen 10mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Danzol CT Scalp Solution is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Dysliptin C 10mg/75mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Diplomax Plus Ointment is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,DAONIL 2.5 MG TABLET is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Monitor the breastfed baby’s blood sugar during treatment with DAONIL 2.5 MG TABLET
,breastfeeding,Derinide 1mg Respules is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Delma 6mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,D Fax Plus 100mg/0.5mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Delior Nano Oral Solution Sugar Free is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Depwell 0.25mg/20mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Diomine 20 mg/500 mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,"Dafadros-LS Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.<BR>Nonhormonal and progestin-only contraceptives are preferred in breastfeeding women, especially during the first 4 weeks postpartum"
,breastfeeding,Information regarding the use of Doxacin OZ 200 mg/500 mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Divaltec 250mg Tablet ER is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,DavaIndia Azithromycin 250mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,DavaIndia Glimepiride 2mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Monitoring of the breastfed infant's blood glucose is advisable during maternal therapy with DavaIndia Glimepiride 2mg Tablet
,breastfeeding,Information regarding the use of Debrox Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Derox 150mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Defenac 100mg Tablet SR is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,,
,breastfeeding,Diclopex Plus 50mg/325mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of DavaIndia Nicorandil 10mg Tablet ER during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Dovy-A Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Delexit-N Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Dextrom Syrup is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Daczim-OF Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Doncorate 250mg Tablet ER is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,D.D.Pramine 10mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Dolotus P Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of DPS 2 Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Duzine 0.5mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Diafer Forte Tablet ER is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Doxipreg 10mg/10mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or prolonged use of Doxipreg 10mg/10mg Tablet may cause sleepiness and other effects in the baby
,breastfeeding,Domicid 10 mg/20 mg Capsule is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Duotop 20mg/1.5mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Delicita Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Dolfre 1% Gel is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Drasol 40mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Dexcoff Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Dior 500mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Doser 10mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Diflam Dental Gel during breastfeeding is not available. Please consult your doctor.
,breastfeeding,DavaIndia Aspirin+Rosuvastatin+Clopidogrel 150mg/10mg/75mg Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Doxic 10mg/10mg/2.5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or prolonged use of Doxic 10mg/10mg/2.5mg Tablet may cause sleepiness and other effects in the baby
,,
,breastfeeding,Disocef O 200mg/200mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Domeco 1500 Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Duke Soft Gelatin Capsule is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Dactino 0.5mg Injection is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Drmet G Drmet G2 Tablet SR is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Domar OX Suspension during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Doner Capsule is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,,
,breastfeeding,Information regarding the use of Decdron 25mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Densera-D Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Dutofeb 40mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Doxyrin 100mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Dicon 50mg Capsule is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Decofed X Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Dicolin 50mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Desloriv 5mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Dipromild 0.0125% Cream is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Dilocus LS Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Defender 1gm/0.2gm Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Ditocet 5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or more prolonged use of Ditocet 5mg Tablet may cause drowsiness and other effects in the baby or decrease the milk supply
,,
,breastfeeding,Dare 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Dyazide 250mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Dexcol AX Syrup during breastfeeding is not available. Please consult your doctor.
