faqs_0,faqs_1,faqs_2,faqs_3,faqs_4,faqs_5,faqs_6,faqs_7,faqs_8,faqs_9,faqs_10,faqs_11,faqs_12,faqs_13,faqs_14
,,,,,,,,,,,,,,
"{'0': 'Q. Are there any serious side effects associated with the use of Alercold-Plus Tablet?', '1': 'Serious side effects with Alercold-Plus Tablet are uncommon and rare. Tell your doctor as soon as possible if you notice allergic reactions, skin rash or peeling, mouth ulcers, breathing problems, unexplained bleeding, recurrent fevers or infections, vision disturbances, fast or irregular heartbeat.'}","{'0': 'Q. Can I breastfeed while taking Alercold-Plus Tablet?', '1': 'No, it is not advisable to breastfeed while using Alercold-Plus Tablet. This medicine contains diphenhydramine, an antihistamine, which can pass into the breast milk and may harm the baby. Inform your doctor that you are breastfeeding if you are advised to take this medicine.'}","{'0': 'Q. Will a higher than the recommended dose of Alercold-Plus Tablet be more effective?', '1': 'No, taking a higher than the recommended dose may not be more effective, rather it may increase the chances of having serious side effects and toxicity. If the recommended doses do not relieve your symptoms or there is an increased severity of your symptoms, please consult your doctor.'}","{'0': 'Q. Are there any contraindications associated with use of Alercold-Plus Tablet?', '1': 'It is not recommended to use Alercold-Plus Tablet if you have high blood pressure (hypertension), any underlying serious heart condition or cardiovascular disorder, any history of stomach ulcers or overactive thyroid (hyperthyroidism), unless advised by the doctor. The use of Alercold-Plus Tablet should also be avoided if you are taking antidepressant drugs. These drugs, called monoamine oxidase inhibitors (MAOIs), may include phenelzine and isocarboxazid or tricyclic antidepressants like imipramine and amitriptyline.'}","{'0': 'Q. What is Alercold-Plus Tablet?', '1': 'Alercold-Plus Tablet is a combination of four medicines: Paracetamol, Caffeine, Diphenhydramine, and Phenylephrine. This combination is helpful in relieving the symptoms of cold such as body ache, headache, fatigue, fever, watery eyes, sneezing, cough, sore throat, runny and stuffy nose.'}","{'0': 'Q. Are there any foods which I have to avoid while taking Alercold-Plus Tablet?', '1': 'Alercold-Plus Tablet contains caffeine. So, it is preferable to avoid medicines or food that contain caffeine. Foods like coffee, tea, cola drinks or chocolate should be avoided as they may add to your total caffeine intake. Also, avoid drinking alcohol (beer, wine etc) while you are taking this medicine.'}","{'0': 'Q. Can the use of Alercold-Plus Tablet cause sleepiness or drowsiness?', '1': 'Yes, Alercold-Plus Tablet can make you feel drowsy or sleepy. Avoid driving a car, operating machinery, working at heights or participating in potentially dangerous activities at the beginning of your treatment until you know how this medicine affects you.'}","{'0': 'Q. What are the instructions for the storage and disposal of Alercold-Plus Tablet?', '1': 'Keep this medicine in the packet or the container it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}",,,,,,,
"{'0': 'Q. Is Azifer 500mg Tablet safe?', '1': 'Azifer 500mg Tablet is safe if used at prescribed doses for the prescribed duration as advised by your doctor.'}","{'0': ""Q. What if I don't get better?"", '1': 'You should inform your doctor if you do not notice any improvement in your symptoms after 3 days of taking Azifer 500mg Tablet. Also, if your symptoms get worse, inform your doctor immediately.'}","{'0': 'Q. Can the use of Azifer 500mg Tablet cause diarrhea?', '1': 'Yes, the use of Azifer 500mg Tablet can cause diarrhea. It is an antibiotic which kills the harmful bacteria. However, it also affects the helpful bacteria in your stomach or intestine and causes diarrhea. If you are experiencing severe diarrhea, talk to your doctor about it.'}","{'0': 'Q. Can Azifer 500mg Tablet be taken at night?', '1': 'Azifer 500mg Tablet is usually prescribed once daily. You can take it at any time of the day, but remember to take it at the same time each day. The medicine should be taken 1 hour before meals or 2 hours after eating food. You can take the tablet preparation with or without food. However, you must take Azifer 500mg Tablet exactly as advised by your doctor and ask your doctor if you have any doubts.'}","{'0': 'Q. How long does it take Azifer 500mg Tablet to work?', '1': 'Azifer 500mg Tablet starts working within a few hours of taking it. You may notice an improvement in symptoms after a few days. Do not stop taking the medicine without completing the course mentioned by your doctor. Stopping the medicine without consulting your doctor may cause the infection to come back which may be more difficult to treat.'}","{'0': 'Q. Why is Azifer 500mg Tablet given for 3 days?', '1': 'The duration of treatment depends on the type of infection being treated and the age of the patient. Azifer 500mg Tablet is not necessarily given for 3 days. In most bacterial infections, a single dose of 500 mg is given for 3 days. Alternatively, it can be given as 500 mg once on day 1 and then 250 mg once from day 2 to day 5. In some cases of infection such as genital ulcer disease, it is given as a single 1 gram dose. Therefore, you must stick to the regime advised by your doctor.'}","{'0': 'Q. What should I avoid while taking Azifer 500mg Tablet?', '1': 'Generally, it is recommended that patients taking Azifer 500mg Tablet should avoid taking any antacid with this medicine as this can affect the overall effectiveness of Azifer 500mg Tablet. It is also recommended to avoid exposure to sunlight or tanning beds as Azifer 500mg Tablet increases the risk of sunburn.'}","{'0': 'Q. Is Azifer 500mg Tablet a strong antibiotic?', '1': 'Azifer 500mg Tablet is an effective antibiotic that is used for the treatment of many bacterial infections. Compared to other antibiotics, Azifer 500mg Tablet has a longer half-life which means that it stays in the body for a long time because of which it is given once a day and for a short span of time. Other antibiotics comparatively have a shorter half-life and are usually given twice, thrice, or four times a day.'}","{'0': 'Q. Can you get a yeast infection from taking Azifer 500mg Tablet?', '1': 'Some people may get a fungal or yeast infection known as thrush after taking Azifer 500mg Tablet. Antibiotics such as Azifer 500mg Tablet can kill the normal or ‘good bacteria’ of your intestine responsible for preventing thrush. You should inform your doctor if you get a sore or vaginal itching or discharge. Also, inform your doctor if you get a white patch in the mouth or tongue after taking Azifer 500mg Tablet or soon after stopping it.'}",,,,,,
"{'0': 'Q. I have been diagnosed with heart failure and the doctor has prescribed me Addpril 2.5 Tablet. Why?', '1': 'Addpril 2.5 Tablet belongs to the angiotensin-converting enzyme (ACE) inhibitor group of drugs. It relaxes and widens the blood vessels, making it easier for the blood to pass through the vessels. As a result of this, the heart does not have to work more to push the blood. Since the workload on the heart is reduced, it is beneficial in heart failure. Additionally, it is also used to lower blood pressure and prevent stroke.'}","{'0': 'Q. Can Addpril 2.5 Tablet increase potassium levels? If yes, what should be done?', '1': 'Addpril 2.5 Tablet may increase potassium levels in the blood, especially if you have uncontrolled diabetes mellitus, kidney problems, and dehydration. Potassium levels may also increase in patients using potassium salts or medicines which increase potassium levels or are aged more than 70 years of age. If you have any of these conditions and are using Addpril 2.5 Tablet, you need to be careful and get regular blood tests done to monitor potassium levels.'}","{'0': 'Q. When can I expect my blood pressure to be normal after starting Addpril 2.5 Tablet?', '1': 'Addpril 2.5 Tablet takes a few hours to reduce high blood pressure but since there are no symptoms, you will not notice any difference. It takes a few weeks for the blood pressure to get fully controlled. Do not stop taking the medicine. Keep taking it even if you feel better or if your blood pressure is normalized.'}","{'0': 'Q. Ever since I started taking Addpril 2.5 Tablet, I noticed that I have developed a dry cough which is very irritating and is not relieved by any medicine. Why is it?', '1': 'Addpril 2.5 Tablet commonly is responsible for dry cough which can be persistent and is not relieved by any medicine. Talk to your doctor if it bothers you or you have trouble sleeping, as another medicine may be better. Even if you stop taking Addpril 2.5 Tablet, the cough may take a few days to a month to go away.'}","{'0': 'Q. I accidentally took a 25 mg Addpril 2.5 Tablet tablet instead of one 5 mg. Will it have any harmful effects?', '1': 'Yes, you may feel lightheaded, dizzy, your pulse may become slow and you may even faint. You should take the help of a relative or friend for an emergency or seek immediate medical support.'}","{'0': 'Q. Will there be any problem if I am taking Addpril 2.5 Tablet and I have surgery scheduled in a  week?', '1': 'Inform your doctor that you are taking Addpril 2.5 Tablet. Addpril 2.5 Tablet can reduce your blood pressure when it is used with a general anesthetic. Your doctor may advise you to stop taking it 24 hours before surgery.'}","{'0': 'Q. Can Addpril 2.5 Tablet affect my fertility?', '1': 'There is no evidence that Addpril 2.5 Tablet has any effect on fertility in both men and women. However, if you are planning to get pregnant, talk to your doctor first because Addpril 2.5 Tablet is not recommended in pregnancy.'}","{'0': 'Q. I have diabetes. Does Addpril 2.5 Tablet have any effect on blood sugar levels?', '1': 'Yes, Addpril 2.5 Tablet may have some effect on antidiabetic medicines and insulin and may lower your blood sugar levels. Therefore, you need to check your blood sugar levels regularly.'}","{'0': 'Q. I have been using Addpril 2.5 Tablet for blood pressure for some time, but now I have noticed that I often have a sore throat along with fever. I want to stop Addpril 2.5 Tablet and see if this goes, can I stop Addpril 2.5 Tablet?', '1': 'No, you should not stop Addpril 2.5 Tablet suddenly as this may cause a sudden increase in your blood pressure which may be harmful to you. In addition to this, Addpril 2.5 Tablet can very rarely decrease your white blood cell count which is important to fight infections in your body. Consult your doctor and get a blood test done. If your white cell count is decreased, it could be due to Addpril 2.5 Tablet. Ask your doctor for alternative medicine for blood pressure. You can continue taking Addpril 2.5 Tablet if your investigations are normal.'}","{'0': 'Q. Is it safe to take Addpril 2.5 Tablet for a long time?', '1': 'Yes, Addpril 2.5 Tablet is safe and works best if taken for a long time. But, taking Addpril 2.5 Tablet for a long time can sometimes affect the working of your kidneys. To keep track of this, your doctor will get regular blood tests done and check how well your kidneys are working.'}",,,,,
,,,,,,,,,,,,,,
"{'0': 'Q. What should I know about high cholesterol?', '1': 'Cholesterol is a type of fat present in your blood. Total cholesterol is determined by the total amount of LDL and HDL cholesterol in the body. LDL cholesterol is called “bad” cholesterol. Bad cholesterol can build up in the wall of your blood vessels and slow or obstruct blood flow to your heart, brain, and other organs. This can cause heart disease and stroke. HDL cholesterol is called “good” cholesterol as it prevents the bad cholesterol from building up in the blood vessels. High levels of triglycerides are also harmful to you.'}","{'0': 'Q. Can Atorfine 20mg Tablet cause muscle problems or muscle injury?', '1': 'Yes, taking Atorfine 20mg Tablet can cause muscle problems or muscle injury. This is because of the reduced oxygen supply to the muscle cells which leads to fatigue, muscle pain, tenderness, or muscle weakness. The soreness may be significant enough to interfere with your daily activities. Do not take it lightly and consult your doctor to know about ways to prevent this and to avoid making it worse.'}","{'0': 'Q. Is Atorfine 20mg Tablet used for lowering cholesterol?', '1': 'Atorfine 20mg Tablet belongs to a group of medicines known as statins, which lowers the level of lipids or fats. Atorfine 20mg Tablet is used to lower lipids known as cholesterol and triglycerides in the blood when a low-fat diet and lifestyle changes fail to lower the levels of cholesterol and triglycerides. If you are at an increased risk of heart disease, Atorfine 20mg Tablet can also be used to reduce such risk even if your cholesterol levels are normal. You should maintain a standard cholesterol-lowering diet during treatment.'}","{'0': 'Q. Can Atorfine 20mg Tablet be prescribed to children?', '1': 'Atorfine 20mg Tablet is for adults and children aged 10 years or more whose cholesterol levels do not come down enough with exercise and a low-fat diet. It is not approved for use in patients younger than 10 years old.'}","{'0': 'Q. Is Atorfine 20mg Tablet a blood thinner?', '1': 'No, Atorfine 20mg Tablet is not a blood thinner. It is a cholesterol-lowering medicine. It works by slowing down the production of cholesterol in the body. This further decreases the amount of cholesterol that may build up on the walls of the arteries and block blood flow to the part of the body. By lowering the levels of cholesterol and triglycerides it prevents the chances of stroke and heart attack.'}","{'0': 'Q. Will taking Atorfine 20mg Tablet lead to an increase in my risk of diabetes?', '1': 'If you are at high risk of developing type 2 diabetes, taking Atorfine 20mg Tablet may increase this risk slightly. This is because Atorfine 20mg Tablet can raise your blood sugar a little. If you already have type 2 diabetes, your doctor may advise monitoring your blood sugar levels more closely for the first few months. Tell your doctor if you find it harder to control your blood sugar.'}","{'0': 'Q. For how long do I need to take Atorfine 20mg Tablet? Is it safe for long-term use?', '1': 'You may need to take Atorfine 20mg Tablet life long or for the duration prescribed by your doctor. The benefits will only continue for as long as you take it. If you stop taking Atorfine 20mg Tablet without starting a different treatment, your cholesterol levels may rise again. It is considered to be safe and has few side effects if taken as directed by the doctor.'}","{'0': 'Q. Does Atorfine 20mg Tablet cause weight loss?', '1': 'No, Atorfine 20mg Tablet has not been reported to cause weight loss. However, weight gain has been reported as an uncommon side effect. Please consult your doctor if you experience weight loss while taking Atorfine 20mg Tablet.'}","{'0': 'Q. Can I stop taking Atorfine 20mg Tablet?', '1': 'No, you should not stop taking Atorfine 20mg Tablet without consulting your doctor. If you think that Atorfine 20mg Tablet is causing side effects, you should consult your doctor who may accordingly lower your dose or change your medicine.'}","{'0': 'Q. Can I take alcohol with Atorfine 20mg Tablet?', '1': 'No, it is not advised to take alcohol with Atorfine 20mg Tablet. This is because the risk of developing liver problems increases if you drink alcohol while taking this medicine. Moreover, there is a significant increase in the triglyceride levels if Atorfine 20mg Tablet is taken along with alcohol. This can further lead to liver damage and also worsen some of the side effects such as muscle pain, muscle weakness, and tenderness. People with liver problems are therefore advised, not to take Atorfine 20mg Tablet without consulting the doctor. They should also refrain from consuming alcohol while taking this medicine to get maximum benefit.'}","{'0': 'Q. Does Atorfine 20mg Tablet cause memory loss?', '1': 'Memory loss may occur with Atorfine 20mg Tablet in very rare cases. This is generally non-serious and may occur as early as 1 day or may take years to appear. These symptoms may disappear within about 3 weeks of discontinuing Rosuvas. However, you should consult your doctor if you experience this side effect as it could be due to some other reason.'}","{'0': 'Q. When should I take Atorfine 20mg Tablet?', '1': 'Atorfine 20mg Tablet is generally taken once a day. It can be taken in the morning or night or at any time of the day, with or without food. Try taking this medicine at the same time every day to help remember when to take it.'}","{'0': 'Q. Does Atorfine 20mg Tablet make you tired?', '1': 'Yes, Atorfine 20mg Tablet can make you feel tired. This is because they reduce the energy supply to the muscles in the body. However, the exact reason behind the phenomenon is unknown and needs more research. Tiredness usually occurs after exertion. Generalized fatigue is more often seen in people with heart disease or those suffering from liver illness. Atorfine 20mg Tablet also causes muscle damage which further worsens the tiredness. Therefore, you must consult your doctor if you feel tired while taking Atorfine 20mg Tablet.'}","{'0': 'Q. What are the most common side effects of Atorfine 20mg Tablet?', '1': 'The common side effects of Atorfine 20mg Tablet include nausea, indigestion, constipation, flatulence, diarrhea, headache, and aches and pains in your back and joints. It may also cause nosebleeds, sore throat, and cold-like symptoms, such as a runny nose, blocked nose, or sneezing.'}",
"{'0': 'Q. What is Acivas-SP Tablet?', '1': 'It is a combination of three medicines: Aceclofenac, Paracetamol, and Serratiopeptidase. This medication helps in relieving pain and inflammation. It works by lowering the levels of chemical substances in the body that cause pain and inflammation.'}","{'0': 'Q. Is it safe to take Acivas-SP Tablet?', '1': 'It is safe to take this medicine for most of the patients. However, in some patients, it may cause unwanted side effects like nausea, vomiting, stomach pain, heartburn, and diarrhea. If you experience any persistent problem due to the medication, inform your doctor as soon as possible.'}","{'0': 'Q. Can I stop taking Acivas-SP Tablet when my pain is relieved?', '1': 'This medicine is usually used for the short term and can be discontinued when your pain is relieved. However, continued taking it if your doctor has advised you to do so.'}","{'0': 'Q. Can Acivas-SP Tablet cause nausea and vomiting?', '1': 'Yes, the use of this medicine can cause nausea and vomiting. In case you experience nausea while taking this medicine, take it with milk, food, or with antacids. Avoid taking fatty or fried foods along with this medication. In case of vomiting, drink plenty of water or other fluids by taking small frequent sips. Talk to your doctor if vomiting persists and you notice signs of dehydration, like dark colored and strong-smelling urine and a low frequency of urination. Do not take any other medicines without speaking to your doctor.'}","{'0': 'Q. Can Acivas-SP Tablet cause dizziness?', '1': 'Yes, the use of this medicine can cause dizziness (feeling faint, weak, unsteady or lightheaded) in some patients. If you feel dizzy or lightheaded, it is better to rest for sometime and resume once you feel better.'}","{'0': 'Q. Are there any specific contraindications associated with taking Acivas-SP Tablet?', '1': 'The use of this medicine is considered harmful for patients with known allergy to any of the components or excipients of this medicine or in patients with known allergy to other painkillers (NSAIDs). Its use should preferably be avoided in patients with a history of stomach ulcers or in patients with active, recurrent stomach ulcers/bleeding. It should also be avoided in patients with a history of heart failure, high blood pressure, and liver or kidney disease.'}","{'0': 'Q. Can I take Acivas-SP Tablet with vitamin B-complex?', '1': 'Yes, this medicine can be taken with vitamin B-complex preparations. While it helps to relieve pain, vitamin B-complex can help to correct the vitamin deficiency that might be causing your symptoms.'}","{'0': 'Q. Can the use of Acivas-SP Tablet cause damage to kidneys?', '1': 'Yes, long-term use of this medicine can cause damage to the kidneys. Normal kidneys produce a chemical called prostaglandins that protect them from damage. The use of painkillers lowers the levels of prostaglandins in the body, which leads to kidney damage on long-term use. The use of painkillers is not recommended in patients with underlying kidney disease.'}","{'0': 'Q. Can I take a higher dose of Acivas-SP Tablet than recommended?', '1': 'No, taking a higher than recommended dose can lead to increased chances of side effects. If you are experiencing increased severity of pain or the pain is not relieved by the recommended doses, please consult your doctor for re-evaluation.'}","{'0': 'Q. What are the instructions for storage and disposal of Acivas-SP Tablet?', '1': 'Keep this medicine in the packet or the container it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}",,,,,
"{'0': 'Q. What is Acesoft-MR Tablet?', '1': 'Acesoft-MR Tablet is a combination of three medicines: Aceclofenac, Paracetamol and Chlorzoxazone. This medicine helps in relieving muscle pain by relaxing the affected muscles. It relieves pain caused due to muscle spasm, cramp or injury. It also lowers certain chemical substances in the body that cause pain.'}","{'0': 'Q. What can I do along with Acesoft-MR Tablet to reduce muscle pain?', '1': 'If you are suffering from muscle pain due to muscle injury or overuse, you should take rest. Taking rest will help you avoid any further injury and help you recover efficiently. Make sure that you take plenty of sleep and try to reduce stress. Applying ice pack to the affected area may help in relieving pain and inflammation. If your muscle pain is due to some other disease, follow the advice of your doctor.'}","{'0': 'Q. Can I get addicted to Acesoft-MR Tablet?', '1': 'No, there are no reports of any patient getting addicted to Acesoft-MR Tablet.'}","{'0': 'Q. Can I stop taking Acesoft-MR Tablet when my pain is relieved?', '1': 'Acesoft-MR Tablet is usually used for short term and can be discontinued when your pain is relieved. However, Acesoft-MR Tablet should be continued if you are advised by your doctor to do so.'}","{'0': 'Q. Can the use of Acesoft-MR Tablet cause dizziness?', '1': 'Yes, the use of Acesoft-MR Tablet can cause dizziness (feeling faint, weak, unsteady or lightheaded) in some patients. If you feel dizzy or lightheaded, it is better to rest for some time and resume once you feel better.'}","{'0': 'Q. Can the use of Acesoft-MR Tablet cause damage to liver?', '1': 'Acesoft-MR Tablet contains Paracetamol and Chlorzoxazone, both these medicines are known to cause harm to the liver especially when taken in doses above the recommended level. Also, avoid drinking alcohol while taking this medicine, as it may further increase your risk of liver damage. Use of this medicine should preferably be avoided in patients with underlying liver disease. Contact your doctor immediately if you notice any early signs and symptoms of liver damage. These symptoms may include fever, rash, loss of appetite, nausea, vomiting, fatigue, stomach pain, dark urine, yellow skin or eyes and abnormal live enzymes.'}","{'0': 'Q. How long will Acesoft-MR Tablet take to act?', '1': 'It may take about an hour to notice the initial benefits of pain relief after taking Acesoft-MR Tablet.'}","{'0': 'Q. What if I forget to take Acesoft-MR Tablet?', '1': 'If you forget to take the scheduled dose of Acesoft-MR Tablet and it is almost time for your next dose, skip the dose you missed and take your next dose at the scheduled time. Otherwise, take it as soon as you remember, and then go back to taking your medicine as you would normally. Do not take a double dose to make up for the dose you missed because this may increase the risk of unwanted side effect due to overdosage. If you are not sure what to do, consult your doctor about how to manage a situation like this.'}","{'0': 'Q. Will Acesoft-MR Tablet be more effective if taken in higher than recommended doses?', '1': 'No, taking a higher than the recommended dose may not be more effective, rather it may increase the chances of having some serious side effects and toxicity. If you experience increased severity of your symptoms that are not relieved by the recommended doses, please consult your doctor for re-evaluation.'}","{'0': 'Q. Are there any specific contraindications associated with the use of Acesoft-MR Tablet?', '1': 'The use of Acesoft-MR Tablet is considered to be harmful in patients with known allergy to any of the components or excipients of this medicine. The use of this medicine should preferably be avoided in patients with a history of stomach ulcers or active, recurrent stomach ulcer / bleeding. It should also be avoided in patients with a history of heart failure, high blood pressure, and liver or kidney disease.'}","{'0': 'Q. Does Acesoft-MR Tablet expire?', '1': 'Yes, Acesoft-MR Tablet does expire. Please check the expiry date written on the pack of this medicine. Do not use Acesoft-MR Tablet after the expiry date.'}",,,,
"{'0': 'Q. Is Aryl MR Tablet a good painkiller?', '1': 'Aryl MR Tablet is effective in relieving pain and inflammation. It is used to provide relief from various sorts of pain such as sprains, strains and other injuries. It is also helpful in various types of arthritis, gout, pain and inflammation following surgery.'}","{'0': 'Q. Is Aryl MR Tablet safe?', '1': ""Aryl MR Tablet is safe if used in the dose and duration advised by your doctor. Take it exactly as directed and do not skip any dose. Follow your doctor's instructions carefully and let your doctor know if any of the side effects bother you.""}","{'0': 'Q. Does Aryl MR Tablet get you high?', '1': 'No, Aryl MR Tablet does not get you high. It does not have an abuse potential (drug-seeking behavior) and does not cause physical or psychological dependence. However, if you do not feel well, consult your doctor.'}","{'0': 'Q. Can Aryl MR Tablet hurt your kidneys?', '1': 'Long-term use and high doses of Aryl MR Tablet may cause renal problems, such as protein or blood in urine and pain during urination. Patients  who had or have heart failure, impaired kidney function and hypertension are at risk of kidney problems. The risk of developing kidney problems is also high in patients who are on medicines which cause excess urination (diuretics), or medicines which have significant impact on kidney function. Along with that, Aryl MR Tablet can affect kidneys of patients who are above 65 years of age or who remain dehydrated. Therefore, kidney function monitoring is recommended for such patients.'}","{'0': 'Q. What if I forget to take a dose of Aryl MR Tablet?', '1': 'If you forget a dose of Aryl MR Tablet, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take the next scheduled dose in the prescribed time. Do not double the dose to make up for the missed one as this may increase the chances of developing side effects.'}","{'0': 'Q. Does Aryl MR Tablet make you drowsy?', '1': 'Aryl MR Tablet can cause drowsiness and also dizziness, fatigue (tiredness) and visual disturbances. However, it is not very common and may not affect everyone. If you experience these symptoms avoid driving or operating heavy machinery.'}","{'0': 'Q. What is the most important information I need to know about Aryl MR Tablet?', '1': 'It is important to know that Aryl MR Tablet may increase your chance of having a heart attack or stroke. The risk is more if you take higher doses and have been using the medicine for a longer time. Also, the use of Aryl MR Tablet may cause ulcers, bleeding, or holes in your stomach and intestine. These problems may happen without warning symptoms at any time during treatment and may even cause death. Therefore, if you encounter any such problems, consult your doctor immediately.'}","{'0': 'Q. Can Aryl MR Tablet be taken during pregnancy?', '1': 'You should not take Aryl MR Tablet during the last 3 months of pregnancy as it may cause harmful effects on your baby. Use of Aryl MR Tablet can also lead to reduced labor (premature delivery). Hence, it is advised to avoid using Aryl MR Tablet during the first 6 months of pregnancy also.  In some cases, Aryl MR Tablet may be prescribed in pregnant women only if the benefits outweigh the risks involved with its use in pregnant women. If not sure, consult your doctor regarding its use.'}","{'0': 'Q. Is Aryl MR Tablet effective?', '1': 'Aryl MR Tablet is effective if used in the dose and duration advised by your doctor. Do not stop taking it even if you see improvement in your condition. If you stop using Aryl MR Tablet too early, the symptoms may return or worsen.'}",,,,,,
"{'0': 'Q. Is Azion 250mg Tablet safe?', '1': 'Azion 250mg Tablet is safe if used at prescribed doses for the prescribed duration as advised by your doctor.'}","{'0': ""Q. What if I don't get better?"", '1': 'You should inform your doctor if you do not notice any improvement in your symptoms after 3 days of taking Azion 250mg Tablet. Also, if your symptoms get worse, inform your doctor immediately.'}","{'0': 'Q. Can the use of Azion 250mg Tablet cause diarrhea?', '1': 'Yes, the use of Azion 250mg Tablet can cause diarrhea. It is an antibiotic which kills the harmful bacteria. However, it also affects the helpful bacteria in your stomach or intestine and causes diarrhea. If you are experiencing severe diarrhea, talk to your doctor about it.'}","{'0': 'Q. Can Azion 250mg Tablet be taken at night?', '1': 'Azion 250mg Tablet is usually prescribed once daily. You can take it at any time of the day, but remember to take it at the same time each day. The medicine should be taken 1 hour before meals or 2 hours after eating food. You can take the tablet preparation with or without food. However, you must take Azion 250mg Tablet exactly as advised by your doctor and ask your doctor if you have any doubts.'}","{'0': 'Q. How long does it take Azion 250mg Tablet to work?', '1': 'Azion 250mg Tablet starts working within a few hours of taking it. You may notice an improvement in symptoms after a few days. Do not stop taking the medicine without completing the course mentioned by your doctor. Stopping the medicine without consulting your doctor may cause the infection to come back which may be more difficult to treat.'}","{'0': 'Q. Why is Azion 250mg Tablet given for 3 days?', '1': 'The duration of treatment depends on the type of infection being treated and the age of the patient. Azion 250mg Tablet is not necessarily given for 3 days. In most bacterial infections, a single dose of 500 mg is given for 3 days. Alternatively, it can be given as 500 mg once on day 1 and then 250 mg once from day 2 to day 5. In some cases of infection such as genital ulcer disease, it is given as a single 1 gram dose. Therefore, you must stick to the regime advised by your doctor.'}","{'0': 'Q. What should I avoid while taking Azion 250mg Tablet?', '1': 'Generally, it is recommended that patients taking Azion 250mg Tablet should avoid taking any antacid with this medicine as this can affect the overall effectiveness of Azion 250mg Tablet. It is also recommended to avoid exposure to sunlight or tanning beds as Azion 250mg Tablet increases the risk of sunburn.'}","{'0': 'Q. Is Azion 250mg Tablet a strong antibiotic?', '1': 'Azion 250mg Tablet is an effective antibiotic that is used for the treatment of many bacterial infections. Compared to other antibiotics, Azion 250mg Tablet has a longer half-life which means that it stays in the body for a long time because of which it is given once a day and for a short span of time. Other antibiotics comparatively have a shorter half-life and are usually given twice, thrice, or four times a day.'}","{'0': 'Q. Can you get a yeast infection from taking Azion 250mg Tablet?', '1': 'Some people may get a fungal or yeast infection known as thrush after taking Azion 250mg Tablet. Antibiotics such as Azion 250mg Tablet can kill the normal or ‘good bacteria’ of your intestine responsible for preventing thrush. You should inform your doctor if you get a sore or vaginal itching or discharge. Also, inform your doctor if you get a white patch in the mouth or tongue after taking Azion 250mg Tablet or soon after stopping it.'}",,,,,,
"{'0': 'Q. Can other medicines be given at the same time as Amoxicorn-CV Dry Syrup?', '1': 'Amoxicorn-CV Dry Syrup can sometimes interact with other medicines or substances. Tell your doctor about any other medicines your child is taking before starting Amoxicorn-CV Dry Syrup. Also, check with your child’s doctor before giving any medicine to your child.'}","{'0': 'Q. Can I get my child vaccinated while on treatment with Amoxicorn-CV Dry Syrup?', '1': 'Antibiotics usually do not interfere with the ingredients in vaccines or cause a bad reaction in a child who has just been vaccinated. However, children taking antibiotics should not get vaccinated until they recover from the illness. As soon as your child feels better, the vaccine can be given.'}","{'0': 'Q. Which lab tests may my child undergo while taking Amoxicorn-CV Dry Syrup on a long-term basis?', '1': 'With prolonged therapy, the doctor may monitor kidney and liver function tests periodically to keep a check on your child’s condition.'}","{'0': 'Q. Can I give a higher than the recommended dose of Amoxicorn-CV Dry Syrup to my child?', '1': 'No, giving a higher than recommended dose of this medicine can increase the risks of side effects. If your child experiences increased severity of symptoms, please consult your doctor for re-evaluation.'}","{'0': 'Q. Can I stop giving Amoxicorn-CV Dry Syrup to my child when the symptoms are relieved?', '1': 'No, do not stop giving this medicine to your child unless the full course of the treatment is complete, even if you feel better. The symptoms may improve before the infection is completely cured. Hence, continue giving the medicine for the due course as it may still be showing beneficial effects.'}","{'0': 'Q. Can the use of Amoxicorn-CV Dry Syrup cause diarrhea?', '1': 'Yes, Amoxicorn-CV Dry Syrup may cause diarrhea. It is an antibiotic that kills harmful bacteria. In addition to that, the medicine may also affect the helpful bacteria in your child’s stomach and cause diarrhea. In case of diarrhea, encourage your child to drink plenty of water or other fluids. Talk to your doctor if diarrhea persists and you notice any signs of dehydration, like less frequency of urination with dark colored and strong-smelling urine. Do not give any other medicine to your child without consulting a doctor.'}","{'0': 'Q. Do all viral common colds result in secondary bacterial infection?', '1': 'Most of the time, bacterial infections do not follow viral infections. In fact, giving antibiotics in viral infection can increase your child’s risk of developing side effects. So, use antibiotics only after consulting with your child’s doctor.'}","{'0': 'Q. The mucus coming out of my child’s nose is yellow-green. Is it a sign of a bacterial infection?', '1': 'Yellow or green mucus in the nose does not mean that antibiotics are needed. During a common cold, it is normal for mucus to thicken up and change from clear to yellow or green. Symptoms often last for 7-10 days.'}","{'0': 'Q. Is there any sign which shows that my child needs immediate medical attention?', '1': 'You must call your child’s doctor right away if your child experiences serious allergic reactions (breathing problems, skin rashes), gastrointestinal infections (diarrhea), and liver damage (weakness, paleness, vomiting). Though rare, these side effects are serious and need an expert’s attention.'}",,,,,,
